_c0,_c1,_c2,_c3,_c4,_c5,_c6,_c7,_c8,_c9,_c10,_c11,_c12,_c13,_c14,Time dependent15,Time dependent16,_c17,_c18,Time dependent19,Time dependent20,_c21,_c22,Time dependent23,Independent24,_c25,_c26,Independent27,_c28,_c29,Independent30,Independent31,Independent32,Independent33,Independent34,Independent35,Independent36,Independent37,Independent38,Independent39,Independent40,_c41,_c42
Project,Total area (m2),Underground floors,Ground floors,Total floors,Buildings,Start date,Finish date,Durations (days),Contract amount (NTD),Prediction periods,null,null,IF1,IF1,IF1,IF2,IF3,IF3,IF3,IF4,IF5,IF5,IF5,IF6,IF7,IF7,IF7,IF8,IF8,IF8,IF9,IF10,IF11,IF12,IF13,IF14,IF15,IF16,IF17,IF18,null,null
null,null,null,null,null,null,null,null,null,null,null,null,null,H,D,Actual duration (AD) or construction duration,Percent of scheduled work completed,H,D,Percent of actual work completed or planned cost,Percent change in contract amount,H,D,Percent of budget spent or actual cost,Weather or number of rainy days,H,D,Schedule Performance Index or Time management,H,D,Cost Performance Index or cost management,Subcontractor management,Contract payment,Change order, Construction price fluctuation,Total floor area (m2),Number of floor,Amount of budget (NTD),Labor market,Productivity,Material prices,Y_ESAC,y_ECAC
A,"31,797",2,9,11,4,2001-07-04,2003-03-31,635,"530,000,000",20,1,Project-G-2,0.09,0.09,0.09,0.06,0.06,0.06,0.06,1.00,0.05,0.05,0.05,0.01,0.94,0.94,0.94,1.17,1.17,1.17,0.99,0.85,1,1.00250350490687,"31,797",11,"530,000,000",-0.2,99.46,55.41,1.00472440944882,0.955181838944
null,null,null,null,null,null,null,null,null,null,null,2,Project-G-3,0.14,0.14,0.14,0.09,0.08,0.08,0.08,1.00,0.06,0.06,0.06,0.04,0.90,0.90,0.90,1.43,1.43,1.43,1.38,0.96,1,0.998698177448428,"31,797",11,"530,000,000",-1.61,99.46,55.4,0.955905511811024,0.9215145456928
null,null,null,null,null,null,null,null,null,null,null,3,Project-G-4,0.19,0.19,0.19,0.12,0.10,0.10,0.10,1.00,0.08,0.08,0.08,0.04,0.81,0.81,0.81,1.15,1.15,1.15,0.92,0.8,1,0.998397756859604,"31,797",11,"530,000,000",-0.79,99.46,55.38,0.908661417322835,0.9675266869584
null,null,null,null,null,null,null,null,null,null,null,4,Project-G-5,0.23,0.23,0.23,0.15,0.13,0.13,0.13,1.00,0.13,0.13,0.13,0.04,0.90,0.90,0.90,1.04,1.04,1.04,1.35,1.3,1,0.997196074504306,"31,797",11,"530,000,000",0.24,99.46,55.39,0.859842519685039,0.9490144480376
null,null,null,null,null,null,null,null,null,null,null,5,Project-G-6,0.28,0.28,0.28,0.17,0.20,0.20,0.20,1.00,0.17,0.17,0.17,0.04,1.15,1.15,1.15,1.18,1.18,1.18,1,0.85,1,0.996795513719207,"31,797",11,"530,000,000",0.99,99.46,55.37,0.81259842519685,0.94263773671
null,null,null,null,null,null,null,null,null,null,null,6,Project-G-7,0.33,0.33,0.33,0.20,0.25,0.25,0.25,1.00,0.17,0.17,0.17,0.05,1.26,1.26,1.26,1.48,1.48,1.48,1.11,0.75,1,0.99749649509313,"31,797",11,"530,000,000",-0.52,107.94,55.66,0.763779527559055,0.8826194645164
null,null,null,null,null,null,null,null,null,null,null,7,Project-G-8,0.38,0.38,0.38,0.22,0.24,0.24,0.24,1.00,0.26,0.26,0.26,0.05,1.09,1.09,1.09,0.93,0.93,0.93,0.73,0.79,1,1.00030042058882,"31,797",11,"530,000,000",-2.68,107.94,56.06,0.718110236220472,0.9909968084232
null,null,null,null,null,null,null,null,null,null,null,8,Project-G-9,0.42,0.42,0.42,0.26,0.31,0.31,0.31,1.00,0.28,0.28,0.28,0.06,1.21,1.21,1.21,1.10,1.10,1.10,1.02,0.93,1,1.00290406569197,"31,797",11,"530,000,000",-0.55,107.94,56.36,0.670866141732283,0.9373665664212
