transaction_date,customer_id,product_name,total_transactions,total_revenue,avg_transaction_value,total_quantity_sold
2025-01-12T13:25:17.000Z,C2084,Protein  Bar,1,2.49,2.49,1
2025-01-15T12:13:27.000Z,C6279,Protein Bar,1,2.49,2.49,1
2025-01-17T14:22:46.000Z,C6139,Wireless  Mouse,1,24.99,24.99,1
2025-01-10T08:07:04.000Z,C3442,Phone Charger,1,67.96,67.96,4
2025-01-19T13:10:38.000Z,C2876,Desk Lamp,1,103.5,103.5,3
2025-01-19T12:38:47.000Z,C5728,Wireless Mouse,1,49.98,49.98,2
2025-01-25T11:36:24.000Z,C4826,Protein  Bar,1,4.98,4.98,2
2025-01-25T14:17:32.000Z,C9847,Running Shoes,1,239.96999999999997,239.96999999999997,3
2025-01-25T15:53:57.000Z,C5689,Headphones,1,299.95,299.95,5
2025-01-17T12:42:26.000Z,C6344,Running  Shoes,1,239.96999999999997,239.96999999999997,3
2025-01-06T17:47:34.000Z,C1998,Ballpoint Pen Pack,1,16.98,16.98,2
2025-01-15T14:04:42.000Z,C6409,T-shirt,1,36,36,2
2025-01-06T14:42:37.000Z,C9565,Wireless Mouse,1,124.94999999999999,124.94999999999999,5
2025-01-14T15:13:22.000Z,C5232,Protein Bar,1,7.470000000000001,7.470000000000001,3
2025-01-09T18:29:09.000Z,C5339,Notebook,1,27,27,4
2025-01-17T15:50:57.000Z,C3780,T-shirt,1,36,36,2
2025-01-18T10:27:11.000Z,C9548,Coffee Mug,1,59.96,59.96,4
2025-01-07T13:22:13.000Z,C5374,Desk Lamp,1,103.5,103.5,3
2025-01-22T20:50:15.000Z,C6304,Mechanical Keyboard,1,89.99,89.99,1
2025-01-22T10:37:27.000Z,C9056,Phone Charger,1,67.96,67.96,4
2025-01-06T08:41:34.000Z,C1241,Yoga Mat,1,149.95,149.95,5
2025-01-16T15:04:36.000Z,C1878,Protein Bar,1,2.49,2.49,1
2025-01-15T17:43:58.000Z,C7149,Backpack,1,49.99,49.99,1
2025-01-07T12:25:08.000Z,C5915,T-shirt,1,54,54,3
2025-01-06T20:03:55.000Z,C2796,Phone Charger,1,67.96,67.96,4
2025-01-09T10:02:19.000Z,C6974,Phone Charger,1,33.98,33.98,2
2025-01-09T11:55:25.000Z,C1960,Water Bottle,1,79.96,79.96,4
2025-01-25T08:57:51.000Z,C8622,Desk Lamp,1,103.5,103.5,3
2025-01-20T21:42:25.000Z,C5497,Running Shoes,1,239.96999999999997,239.96999999999997,3
2025-01-21T11:08:50.000Z,C9837,Running Shoes,1,319.96,319.96,4
2025-01-26T15:06:15.000Z,C7248,Notebook,1,27,27,4
2025-01-14T09:35:48.000Z,C7818,Ballpoint  Pen  Pack,1,8.49,8.49,1
2025-01-18T11:04:26.000Z,C7678,Water Bottle,1,39.98,39.98,2
2025-01-19T17:50:02.000Z,C6688,Yoga  Mat,1,29.99,29.99,1
2025-01-14T08:16:24.000Z,C6363,Mechanical  Keyboard,1,359.96,359.96,4
2025-01-23T09:09:48.000Z,C4696,Yoga  Mat,1,29.99,29.99,1
2025-01-24T18:15:31.000Z,C3344,Backpack,1,199.96,199.96,4
2025-01-16T19:15:19.000Z,C7046,Ballpoint Pen Pack,1,16.98,16.98,2
2025-01-10T10:16:33.000Z,C7932,Mechanical  Keyboard,1,359.96,359.96,4
2025-01-15T20:53:26.000Z,C5133,Coffee Mug,1,59.96,59.96,4
2025-01-16T14:52:46.000Z,C5397,Yoga Mat,1,119.96,119.96,4
2025-01-06T19:17:15.000Z,C4657,T-shirt,1,18,18,1
2025-01-20T12:34:07.000Z,C8451,Usb-c Cable,1,50,50,4
2025-01-22T21:06:55.000Z,C8213,Phone Charger,1,84.94999999999999,84.94999999999999,5
2025-01-20T17:23:46.000Z,C3153,Ballpoint Pen Pack,1,33.96,33.96,4
2025-01-21T14:29:23.000Z,C9850,Notebook,1,33.75,33.75,5
2025-01-26T18:23:06.000Z,C4830,Backpack,1,199.96,199.96,4
2025-01-15T19:08:40.000Z,C9042,Wireless Mouse,1,124.94999999999999,124.94999999999999,5
2025-01-09T08:11:47.000Z,C6442,Yoga  Mat,1,59.98,59.98,2
2025-01-07T16:08:46.000Z,C8744,Ballpoint  Pen  Pack,1,33.96,33.96,4
2025-01-12T21:00:48.000Z,C3615,Backpack,1,149.97,149.97,3
2025-01-22T15:56:44.000Z,C8941,Phone Charger,1,33.98,33.98,2
2025-01-22T21:00:18.000Z,C5891,Coffee Mug,1,74.95,74.95,5
2025-01-25T09:53:31.000Z,C7686,Headphones,1,239.96,239.96,4
2025-01-22T18:06:54.000Z,C3634,Water Bottle,1,59.97,59.97,3
2025-01-07T14:11:17.000Z,C8579,Phone  Charger,1,67.96,67.96,4
2025-01-13T13:14:41.000Z,C2124,Running Shoes,1,399.95,399.95,5
2025-01-18T13:00:54.000Z,C7882,Usb-c Cable,1,62.5,62.5,5
2025-01-12T20:29:18.000Z,C7930,Water Bottle,1,59.97,59.97,3
2025-01-07T17:05:05.000Z,C8962,Notebook,1,6.75,6.75,1
2025-01-12T19:06:24.000Z,C1634,Ballpoint Pen Pack,1,16.98,16.98,2
2025-01-16T14:15:09.000Z,C1090,Notebook,1,27,27,4
2025-01-08T12:52:50.000Z,C4728,Protein  Bar,1,9.96,9.96,4
2025-01-14T20:29:36.000Z,C7209,Ballpoint Pen Pack,1,33.96,33.96,4
2025-01-13T11:30:39.000Z,C2193,Mechanical Keyboard,1,89.99,89.99,1
2025-01-20T08:50:21.000Z,C4990,T-shirt,1,90,90,5
2025-01-22T17:48:31.000Z,C8242,Notebook,1,33.75,33.75,5
2025-01-21T17:13:52.000Z,C4817,Usb-c Cable,1,62.5,62.5,5
2025-01-15T09:52:48.000Z,C4848,T-shirt,1,90,90,5
2025-01-19T14:54:57.000Z,C7865,Coffee  Mug,1,44.97,44.97,3
2025-01-11T09:22:49.000Z,C7658,T-shirt,1,36,36,2
2025-01-06T18:52:35.000Z,C5905,Backpack,1,249.95000000000002,249.95000000000002,5
2025-01-10T21:33:10.000Z,C1931,Backpack,1,199.96,199.96,4
2025-01-12T18:32:38.000Z,C4258,Protein Bar,1,7.470000000000001,7.470000000000001,3
2025-01-15T21:37:27.000Z,C6003,Desk Lamp,1,138,138,4
2025-01-25T09:54:21.000Z,C9742,Backpack,1,199.96,199.96,4
2025-01-22T11:07:54.000Z,C8450,Wireless Mouse,1,99.96,99.96,4
2025-01-23T19:20:38.000Z,C5102,Backpack,1,49.99,49.99,1
2025-01-23T21:41:09.000Z,C2225,Wireless Mouse,1,49.98,49.98,2
2025-01-06T08:21:49.000Z,C3143,Protein Bar,1,7.470000000000001,7.470000000000001,3
2025-01-06T19:56:46.000Z,C5315,Mechanical Keyboard,1,359.96,359.96,4
2025-01-18T16:21:22.000Z,C8434,Coffee Mug,1,59.96,59.96,4
2025-01-11T16:48:17.000Z,C6573,T-shirt,1,18,18,1
2025-01-18T21:30:28.000Z,C5246,Headphones,1,119.98,119.98,2
2025-01-06T14:46:21.000Z,C2790,T-shirt,1,18,18,1
2025-01-06T16:12:45.000Z,C9928,Phone  Charger,1,84.94999999999999,84.94999999999999,5
2025-01-10T17:06:04.000Z,C9808,Wireless  Mouse,1,99.96,99.96,4
2025-01-08T21:04:49.000Z,C5573,Water Bottle,1,59.97,59.97,3
2025-01-16T09:34:14.000Z,C3441,T-shirt,1,36,36,2
2025-01-16T08:24:21.000Z,C7624,Ballpoint Pen Pack,1,33.96,33.96,4
2025-01-24T12:43:48.000Z,C3240,Notebook,1,13.5,13.5,2
2025-01-23T13:37:19.000Z,C7951,Mechanical Keyboard,1,89.99,89.99,1
2025-01-26T18:45:55.000Z,C2646,Water Bottle,1,19.99,19.99,1
2025-01-12T18:39:56.000Z,C6925,Phone  Charger,1,50.97,50.97,3
2025-01-15T10:19:00.000Z,C9751,Ballpoint Pen Pack,1,16.98,16.98,2
2025-01-18T11:16:42.000Z,C2330,Yoga Mat,1,59.98,59.98,2
2025-01-26T20:35:02.000Z,C8451,Ballpoint Pen Pack,1,33.96,33.96,4
2025-01-26T10:08:34.000Z,C5106,Wireless Mouse,1,74.97,74.97,3
2025-01-26T14:55:32.000Z,C1018,Coffee Mug,1,14.99,14.99,1
2025-01-20T17:04:15.000Z,C5708,Protein  Bar,1,12.450000000000001,12.450000000000001,5
2025-01-18T11:20:07.000Z,C9779,Notebook,1,6.75,6.75,1
2025-01-07T09:57:02.000Z,C6413,Running Shoes,1,79.99,79.99,1
2025-01-12T08:46:29.000Z,C9785,Backpack,1,149.97,149.97,3
2025-01-14T14:42:24.000Z,C3851,Phone Charger,1,33.98,33.98,2
2025-01-06T11:23:18.000Z,C3584,Mechanical Keyboard,1,269.96999999999997,269.96999999999997,3
2025-01-08T08:07:56.000Z,C5279,Water Bottle,1,99.94999999999999,99.94999999999999,5
2025-01-13T14:37:36.000Z,C1444,Backpack,1,249.95000000000002,249.95000000000002,5
2025-01-22T13:35:48.000Z,C9903,Phone  Charger,1,67.96,67.96,4
2025-01-24T14:36:43.000Z,C3950,Mechanical Keyboard,1,179.98,179.98,2
2025-01-23T21:30:30.000Z,C4993,Phone Charger,1,50.97,50.97,3
2025-01-20T10:02:02.000Z,C5986,T-shirt,1,72,72,4
2025-01-16T08:35:15.000Z,C2988,Mechanical Keyboard,1,449.95,449.95,5
2025-01-12T13:06:05.000Z,C7224,Mechanical Keyboard,1,179.98,179.98,2
2025-01-11T21:15:25.000Z,C2964,Backpack,1,49.99,49.99,1
2025-01-06T17:20:31.000Z,C1319,Phone Charger,1,84.94999999999999,84.94999999999999,5
2025-01-14T08:26:28.000Z,C8699,Phone Charger,1,16.99,16.99,1
