transaction_id,transaction_date,customer_id,product_id,product_name,category,quantity,unit_price,total_amount,store_location,payment_method
TXN000051,2025-01-17T14:22:46.000Z,C6139,P001,Wireless  Mouse,Electronics,1,24.99,24.99,Orlando,Google Pay
TXN000052,2025-01-17T11:16:02.000Z,C8144,P002,Usb-c Cable,Electronics,4,12.5,50,Orlando,Google Pay
TXN000053,2025-01-15T14:04:42.000Z,C6409,P011,T-shirt,Apparel,2,18,36,Dallas,Credit Card
TXN000054,2025-01-17T12:42:26.000Z,C6344,P012,Running  Shoes,Apparel,3,79.99,239.96999999999997,Dallas,Cash
TXN000055,2025-01-14T14:42:24.000Z,C3851,P009,Phone Charger,Electronics,2,16.99,33.98,Raleigh,Google Pay
TXN000056,2025-01-15T12:13:27.000Z,C6279,P014,Protein Bar,Food,1,2.49,2.49,Raleigh,Apple Pay
TXN000057,2025-01-17T15:50:57.000Z,C3780,P011,T-shirt,Apparel,2,18,36,Nashville,Google Pay
TXN000058,2025-01-15T09:52:48.000Z,C4848,P011,T-shirt,Apparel,5,18,90,Atlanta,Debit Card
TXN000059,2025-01-13T11:30:39.000Z,C2193,P003,Mechanical Keyboard,Electronics,1,89.99,89.99,Raleigh,Google Pay
TXN000060,2025-01-16T14:15:09.000Z,C1090,P004,Notebook,Office Supplies,4,6.75,27,Raleigh,Debit Card
TXN000061,2025-01-16T08:35:15.000Z,C2988,P003,Mechanical Keyboard,Electronics,5,89.99,449.95,Atlanta,Apple Pay
TXN000062,2025-01-17T17:20:48.000Z,C8251,P011,T-shirt,Apparel,5,18,90,Orlando,Apple Pay
TXN000063,2025-01-18T21:30:28.000Z,C5246,P015,Headphones,Electronics,2,59.99,119.98,Dallas,Cash
TXN000064,2025-01-16T18:15:17.000Z,C8206,P013,Yoga Mat,Fitness,5,29.99,149.95,Dallas,Cash
TXN000065,2025-01-15T13:57:34.000Z,C2320,P004,Notebook,Office Supplies,3,6.75,20.25,Atlanta,Debit Card
TXN000066,2025-01-18T11:04:26.000Z,C7678,P007,Water Bottle,Kitchen,2,19.99,39.98,Orlando,Apple Pay
TXN000067,2025-01-14T21:26:24.000Z,C1320,P007,Water  Bottle,Kitchen,1,19.99,19.99,Raleigh,Credit Card
TXN000068,2025-01-19T14:54:57.000Z,C7865,P006,Coffee  Mug,Kitchen,3,14.99,44.97,Raleigh,Debit Card
TXN000069,2025-01-16T08:24:21.000Z,C7624,P005,Ballpoint Pen Pack,Office Supplies,4,8.49,33.96,Raleigh,Debit Card
TXN000070,2025-01-13T14:37:36.000Z,C1444,P010,Backpack,Accessories,5,49.99,249.95000000000002,Dallas,Apple Pay
TXN000071,2025-01-14T08:16:24.000Z,C6363,P003,Mechanical  Keyboard,Electronics,4,89.99,359.96,Raleigh,Cash
